Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/23/2025,06/25/2025,Water Utility,Utilities,Sale,157.29,
06/23/2025,06/23/2025,Metro Transit,Transportation,Sale,192.31,
06/24/2025,06/26/2025,Chevron,Gas,Sale,209.74,
06/25/2025,06/25/2025,Shell Gas Station,Gas,Sale,236.89,
06/25/2025,06/27/2025,RETURN - Microsoft Store,Electronics,Return,-153.12,
06/25/2025,06/26/2025,Rite Aid,Pharmacy,Sale,169.72,
06/26/2025,06/26/2025,76 Gas Station,Gas,Sale,23.98,
06/26/2025,06/27/2025,VCA Animal Hospital,Pet Care,Sale,247.4,
06/26/2025,06/28/2025,Internet Service,Utilities,Sale,14.51,
06/26/2025,06/27/2025,Walmart,Groceries,Sale,131.4,
06/27/2025,06/27/2025,PetSmart,Pet Care,Sale,242.91,
06/27/2025,06/27/2025,Marriott Hotel,Travel,Sale,20.67,
06/27/2025,06/29/2025,Macy's,Shopping,Sale,34.41,
06/27/2025,06/28/2025,AMC Theatres,Entertainment,Sale,115.69,
06/28/2025,06/28/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-730.71,
06/29/2025,06/29/2025,BP Gas,Gas,Sale,178.25,
06/30/2025,07/01/2025,LA Fitness,Fitness,Sale,146.13,
07/01/2025,07/02/2025,Petco,Pet Care,Sale,52.62,
07/01/2025,07/03/2025,CVS Pharmacy,Pharmacy,Sale,69.76,
07/02/2025,07/04/2025,Petco,Pet Care,Sale,193.14,
07/03/2025,07/05/2025,24 Hour Fitness,Fitness,Sale,303.01,
07/03/2025,07/04/2025,Petco,Pet Care,Sale,266.67,
07/03/2025,07/04/2025,Macy's,Shopping,Sale,9.08,
07/04/2025,07/04/2025,Best Buy,Electronics,Sale,11.44,
07/04/2025,07/04/2025,Office Depot,Office Supplies,Sale,239.75,
07/04/2025,07/06/2025,Starbucks,Restaurants,Sale,36.78,
07/04/2025,07/05/2025,Staples,Office Supplies,Sale,196.12,
07/04/2025,07/06/2025,Costco,Groceries,Sale,27.32,
07/05/2025,07/06/2025,Starbucks,Restaurants,Sale,141.65,
07/05/2025,07/06/2025,Metro Transit,Transportation,Sale,175.83,
07/06/2025,07/06/2025,VCA Animal Hospital,Pet Care,Sale,221.85,
07/06/2025,07/07/2025,Electric Company,Utilities,Sale,260.9,
07/06/2025,07/07/2025,VCA Animal Hospital,Pet Care,Sale,295.38,
07/07/2025,07/07/2025,Uber,Transportation,Sale,94.25,
07/07/2025,07/09/2025,TJ Maxx,Shopping,Sale,50.1,
07/08/2025,07/10/2025,Kroger,Groceries,Sale,251.09,
07/08/2025,07/09/2025,Peloton,Fitness,Sale,109.03,
07/08/2025,07/10/2025,Spotify,Entertainment,Sale,34.86,
07/09/2025,07/10/2025,Dunkin Donuts,Restaurants,Sale,50.13,
07/09/2025,07/09/2025,Peloton,Fitness,Sale,60.16,
07/09/2025,07/11/2025,Uber,Transportation,Sale,62.63,
07/09/2025,07/10/2025,Dunkin Donuts,Restaurants,Sale,271.63,
07/09/2025,07/10/2025,RETURN - PetSmart,Pet Care,Return,-117.57,
07/10/2025,07/11/2025,Marriott Hotel,Travel,Sale,14.03,
07/10/2025,07/10/2025,24 Hour Fitness,Fitness,Sale,273.36,
07/10/2025,07/11/2025,Airbnb,Travel,Sale,291.89,
07/11/2025,07/11/2025,Rite Aid,Pharmacy,Sale,172.45,
07/11/2025,07/11/2025,Southwest Airlines,Travel,Sale,217.47,
07/13/2025,07/15/2025,Nordstrom,Shopping,Sale,207.66,
07/14/2025,07/16/2025,DISPUTE RESOLUTION CREDIT,Adjustments,Credit,-109.53,
07/14/2025,07/16/2025,Delta Airlines,Travel,Sale,149.95,
07/15/2025,07/16/2025,Lowe's,Home Improvement,Sale,162.47,
07/15/2025,07/15/2025,Trader Joe's,Groceries,Sale,93.58,
07/15/2025,07/16/2025,Uber Eats,Food Delivery,Sale,28.35,
07/16/2025,07/17/2025,Rite Aid,Pharmacy,Sale,51.4,
07/16/2025,07/17/2025,PetSmart,Pet Care,Sale,101.5,
07/17/2025,07/18/2025,Uber Eats,Food Delivery,Sale,92.79,
07/17/2025,07/17/2025,Macy's,Shopping,Sale,28.66,
07/17/2025,07/19/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-497.06,
07/18/2025,07/20/2025,Parking Meter,Transportation,Sale,19.54,
07/19/2025,07/20/2025,Hulu,Entertainment,Sale,141.09,
07/19/2025,07/20/2025,Postmates,Food Delivery,Sale,200.98,
07/20/2025,07/22/2025,VCA Animal Hospital,Pet Care,Sale,217.36,
07/20/2025,07/21/2025,Walmart,Shopping,Sale,221.25,
07/22/2025,07/24/2025,Marriott Hotel,Travel,Sale,150.49,
07/23/2025,07/23/2025,Petco,Pet Care,Sale,136.82,
07/23/2025,07/25/2025,DoorDash,Food Delivery,Sale,145.8,
07/23/2025,07/24/2025,Uber Eats,Food Delivery,Sale,19,
07/23/2025,07/25/2025,United Airlines,Travel,Sale,111.59,
07/24/2025,07/26/2025,PetSmart,Pet Care,Sale,24.95,
07/24/2025,07/24/2025,Internet Service,Utilities,Sale,61.53,
07/25/2025,07/26/2025,Hilton Hotels,Travel,Sale,6.38,
07/26/2025,07/28/2025,Postmates,Food Delivery,Sale,97.43,
07/26/2025,07/28/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-928.49,
07/26/2025,07/28/2025,Water Utility,Utilities,Sale,189.7,
07/26/2025,07/27/2025,Walgreens,Pharmacy,Sale,36.73,
07/26/2025,07/26/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-734.94,
07/27/2025,07/27/2025,Chevron,Gas,Sale,230.76,
07/27/2025,07/28/2025,RETURN - Airbnb,Travel,Return,-63.42,
07/27/2025,07/27/2025,GameStop,Electronics,Sale,102.95,
07/27/2025,07/28/2025,Whole Foods,Groceries,Sale,102.82,
07/28/2025,07/30/2025,Marriott Hotel,Travel,Sale,248.06,
07/28/2025,07/28/2025,DoorDash,Food Delivery,Sale,16.14,
07/30/2025,07/30/2025,RETURN - Home Depot,Home Improvement,Return,-15.22,
08/02/2025,08/02/2025,Home Depot,Home Improvement,Sale,47.72,
08/02/2025,08/04/2025,PROMOTIONAL CREDIT,Adjustments,Credit,-132.6,
08/02/2025,08/02/2025,Costco,Groceries,Sale,210.95,
08/03/2025,08/03/2025,Grubhub,Food Delivery,Sale,86.48,
08/03/2025,08/03/2025,Home Depot,Home Improvement,Sale,65.04,
08/05/2025,08/06/2025,RETURN - Chevron,Gas,Return,-132.33,
08/05/2025,08/07/2025,Postmates,Food Delivery,Sale,40.8,
08/05/2025,08/05/2025,Macy's,Shopping,Sale,188.54,
08/05/2025,08/06/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-1692.97,
08/05/2025,08/05/2025,Chevron,Gas,Sale,11.9,
08/06/2025,08/07/2025,IKEA,Home Improvement,Sale,300.59,
08/07/2025,08/08/2025,BP Gas,Gas,Sale,76.36,
08/07/2025,08/09/2025,Planet Fitness,Fitness,Sale,37.83,
08/07/2025,08/09/2025,Amazon.com,Shopping,Sale,114.06,
08/08/2025,08/08/2025,Metro Transit,Transportation,Sale,128.85,
08/08/2025,08/10/2025,Southwest Airlines,Travel,Sale,279.99,
08/09/2025,08/10/2025,CVS Pharmacy,Pharmacy,Sale,282.94,
08/09/2025,08/09/2025,PRICE ADJUSTMENT,Adjustments,Credit,-68.94,
08/09/2025,08/09/2025,76 Gas Station,Gas,Sale,215.65,
08/10/2025,08/12/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-162.27,
08/10/2025,08/10/2025,Phone Bill,Utilities,Sale,115.61,
08/10/2025,08/12/2025,Dunkin Donuts,Restaurants,Sale,284.39,
08/10/2025,08/12/2025,Panera Bread,Restaurants,Sale,238.49,
08/10/2025,08/10/2025,Uber Eats,Food Delivery,Sale,46.46,
08/10/2025,08/11/2025,CVS Pharmacy,Pharmacy,Sale,89.49,
08/10/2025,08/12/2025,RETURN - Trader Joe's,Groceries,Return,-33.5,
08/11/2025,08/12/2025,Southwest Airlines,Travel,Sale,225.37,
08/11/2025,08/11/2025,Phone Bill,Utilities,Sale,125.79,
08/12/2025,08/14/2025,AMC Theatres,Entertainment,Sale,38.42,
08/14/2025,08/14/2025,Office Depot,Office Supplies,Sale,235,
08/14/2025,08/15/2025,IKEA,Home Improvement,Sale,275.73,
08/14/2025,08/16/2025,Peloton,Fitness,Sale,182,
08/16/2025,08/17/2025,Red Lobster,Restaurants,Sale,135.64,
08/16/2025,08/18/2025,RETURN - Chevron,Gas,Return,-45.86,
08/17/2025,08/18/2025,Internet Service,Utilities,Sale,196.02,
08/17/2025,08/17/2025,TJ Maxx,Shopping,Sale,7.29,
08/18/2025,08/18/2025,76 Gas Station,Gas,Sale,100.19,
08/18/2025,08/18/2025,DISPUTE RESOLUTION CREDIT,Adjustments,Credit,-148.2,
08/18/2025,08/19/2025,Internet Service,Utilities,Sale,228.44,
08/19/2025,08/19/2025,BILLING CORRECTION,Adjustments,Credit,-85.41,
08/19/2025,08/21/2025,Internet Service,Utilities,Sale,165.17,
08/19/2025,08/19/2025,Staples,Office Supplies,Sale,7.02,
08/22/2025,08/24/2025,Lowe's,Home Improvement,Sale,225.32,
08/22/2025,08/24/2025,BP Gas,Gas,Sale,292.25,
08/22/2025,08/23/2025,Rite Aid,Pharmacy,Sale,162.81,
08/23/2025,08/25/2025,Petco,Pet Care,Sale,112.14,
08/23/2025,08/25/2025,24 Hour Fitness,Fitness,Sale,56.44,
08/23/2025,08/23/2025,Apple Store,Electronics,Sale,95.01,
08/23/2025,08/25/2025,RETURN - Postmates,Food Delivery,Return,-138.81,
08/24/2025,08/26/2025,FedEx Office,Office Supplies,Sale,87.2,
08/24/2025,08/26/2025,Metro Transit,Transportation,Sale,165.72,
08/24/2025,08/24/2025,Regal Cinemas,Entertainment,Sale,222.17,
08/25/2025,08/25/2025,Grubhub,Food Delivery,Sale,201.21,
08/25/2025,08/25/2025,Trader Joe's,Groceries,Sale,215.05,
08/25/2025,08/25/2025,Postmates,Food Delivery,Sale,277.97,
08/26/2025,08/26/2025,Parking Meter,Transportation,Sale,230.38,
08/26/2025,08/27/2025,Target,Groceries,Sale,85.25,
08/26/2025,08/27/2025,Southwest Airlines,Travel,Sale,282.43,
08/26/2025,08/26/2025,VCA Animal Hospital,Pet Care,Sale,197.58,
08/26/2025,08/27/2025,24 Hour Fitness,Fitness,Sale,172.92,
08/27/2025,08/27/2025,Petco,Pet Care,Sale,33.6,
08/27/2025,08/27/2025,Disney+,Entertainment,Sale,159.27,
08/27/2025,08/27/2025,Target,Groceries,Sale,6.54,
08/29/2025,08/30/2025,Metro Transit,Transportation,Sale,294.29,
08/29/2025,08/31/2025,Hilton Hotels,Travel,Sale,56.14,
08/29/2025,08/30/2025,Walgreens,Pharmacy,Sale,24.82,
08/31/2025,09/02/2025,Lowe's,Home Improvement,Sale,209.14,
09/02/2025,09/02/2025,Grubhub,Food Delivery,Sale,77.98,
09/02/2025,09/03/2025,Rite Aid,Pharmacy,Sale,92.21,
09/02/2025,09/02/2025,Uber Eats,Food Delivery,Sale,274.58,
09/03/2025,09/03/2025,Internet Service,Utilities,Sale,144.71,
09/04/2025,09/06/2025,Panera Bread,Restaurants,Sale,296.8,
09/04/2025,09/04/2025,Chevron,Gas,Sale,58.52,
09/05/2025,09/07/2025,76 Gas Station,Gas,Sale,11.1,
09/05/2025,09/06/2025,Macy's,Shopping,Sale,156.83,
09/05/2025,09/05/2025,76 Gas Station,Gas,Sale,126.49,
09/06/2025,09/06/2025,DoorDash,Food Delivery,Sale,140.83,
09/07/2025,09/08/2025,DoorDash,Food Delivery,Sale,148.77,
09/07/2025,09/07/2025,LA Fitness,Fitness,Sale,161.82,
09/08/2025,09/09/2025,76 Gas Station,Gas,Sale,225.89,
09/08/2025,09/09/2025,Water Utility,Utilities,Sale,80.75,
09/08/2025,09/09/2025,Olive Garden,Restaurants,Sale,179.2,
09/09/2025,09/11/2025,Home Depot,Home Improvement,Sale,259.34,
09/09/2025,09/11/2025,DoorDash,Food Delivery,Sale,86.18,
09/09/2025,09/10/2025,Phone Bill,Utilities,Sale,55.06,
09/09/2025,09/09/2025,Walmart,Groceries,Sale,243.02,
09/09/2025,09/09/2025,HBO Max,Entertainment,Sale,205.23,
09/10/2025,09/12/2025,DoorDash,Food Delivery,Sale,36.17,
09/10/2025,09/12/2025,Uber Eats,Food Delivery,Sale,255.5,
09/10/2025,09/10/2025,Lyft,Transportation,Sale,18.57,
09/10/2025,09/10/2025,PRICE ADJUSTMENT,Adjustments,Credit,-40.97,
09/10/2025,09/11/2025,Office Depot,Office Supplies,Sale,88.48,
09/11/2025,09/12/2025,VCA Animal Hospital,Pet Care,Sale,137.39,
09/12/2025,09/14/2025,Microsoft Store,Electronics,Sale,195.16,
09/13/2025,09/15/2025,Staples,Office Supplies,Sale,237.34,
09/14/2025,09/16/2025,Disney+,Entertainment,Sale,92.87,
09/15/2025,09/17/2025,BP Gas,Gas,Sale,29.63,
09/16/2025,09/17/2025,Marriott Hotel,Travel,Sale,121.48,
09/16/2025,09/18/2025,Netflix,Entertainment,Sale,140.76,
09/16/2025,09/18/2025,Ace Hardware,Home Improvement,Sale,42.15,
09/18/2025,09/18/2025,Amazon.com,Shopping,Sale,259.79,
09/18/2025,09/20/2025,RETURN - IKEA,Home Improvement,Return,-55.66,
09/18/2025,09/19/2025,LA Fitness,Fitness,Sale,26.71,
09/18/2025,09/19/2025,Apple Store,Electronics,Sale,247.49,
09/19/2025,09/21/2025,Best Buy,Electronics,Sale,302.6,
09/19/2025,09/20/2025,IKEA,Home Improvement,Sale,232.21,
09/20/2025,09/22/2025,Walgreens,Pharmacy,Sale,36.34,
09/21/2025,09/22/2025,Phone Bill,Utilities,Sale,51.1,
09/21/2025,09/22/2025,Walmart,Shopping,Sale,172.45,
09/21/2025,09/23/2025,CVS Pharmacy,Pharmacy,Sale,179.79,
09/21/2025,09/21/2025,IKEA,Home Improvement,Sale,18.5,
09/21/2025,09/23/2025,RETURN - Shell Gas Station,Gas,Return,-114.43,
09/22/2025,09/24/2025,DISPUTE RESOLUTION CREDIT,Adjustments,Credit,-23.5,
09/22/2025,09/22/2025,Airbnb,Travel,Sale,205.53,
09/22/2025,09/22/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-288.24,
09/22/2025,09/23/2025,Phone Bill,Utilities,Sale,93.23,
09/22/2025,09/24/2025,Subway,Restaurants,Sale,174.25,
09/22/2025,09/23/2025,Grubhub,Food Delivery,Sale,94.54,
09/24/2025,09/25/2025,Red Lobster,Restaurants,Sale,288.59,
09/24/2025,09/26/2025,Petco,Pet Care,Sale,251.86,
09/25/2025,09/25/2025,Office Depot,Office Supplies,Sale,243.19,
09/25/2025,09/26/2025,Lowe's,Home Improvement,Sale,249.5,
09/26/2025,09/28/2025,Chevron,Gas,Sale,80.77,
09/26/2025,09/27/2025,Chipotle,Restaurants,Sale,137.83,
09/27/2025,09/28/2025,Lowe's,Home Improvement,Sale,31.09,
09/27/2025,09/29/2025,Internet Service,Utilities,Sale,192.55,
09/28/2025,09/28/2025,Grubhub,Food Delivery,Sale,244.9,
09/28/2025,09/29/2025,Amazon.com,Shopping,Sale,179.18,
09/29/2025,09/29/2025,FedEx Office,Office Supplies,Sale,276.53,
09/29/2025,09/29/2025,PetSmart,Pet Care,Sale,290.93,
09/29/2025,09/29/2025,Chipotle,Restaurants,Sale,176.85,
09/30/2025,10/01/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-567.37,
09/30/2025,09/30/2025,CVS Pharmacy,Pharmacy,Sale,289.7,
09/30/2025,10/01/2025,Phone Bill,Utilities,Sale,135.76,
10/01/2025,10/02/2025,CVS Pharmacy,Pharmacy,Sale,93.49,
10/01/2025,10/02/2025,Panera Bread,Restaurants,Sale,237.78,
10/01/2025,10/01/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-1161.93,
10/02/2025,10/03/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-1578.52,
10/03/2025,10/03/2025,Lowe's,Home Improvement,Sale,237.33,
10/04/2025,10/04/2025,RETURN - 76 Gas Station,Gas,Return,-122.85,
10/04/2025,10/06/2025,Dunkin Donuts,Restaurants,Sale,136.96,
10/04/2025,10/05/2025,CVS Pharmacy,Pharmacy,Sale,279.52,
10/04/2025,10/06/2025,Nordstrom,Shopping,Sale,218.49,
10/05/2025,10/05/2025,Southwest Airlines,Travel,Sale,67.39,
10/07/2025,10/08/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-711.26,
10/07/2025,10/07/2025,76 Gas Station,Gas,Sale,274.1,
10/07/2025,10/09/2025,TJ Maxx,Shopping,Sale,51.43,
10/08/2025,10/08/2025,Microsoft Store,Electronics,Sale,285.6,
10/08/2025,10/08/2025,76 Gas Station,Gas,Sale,225.2,
10/09/2025,10/11/2025,Grubhub,Food Delivery,Sale,284.22,
10/10/2025,10/10/2025,BP Gas,Gas,Sale,256.69,
10/10/2025,10/10/2025,Mobil,Gas,Sale,285.98,
10/10/2025,10/12/2025,IKEA,Home Improvement,Sale,196.93,
10/10/2025,10/11/2025,GameStop,Electronics,Sale,65.38,
10/10/2025,10/12/2025,Macy's,Shopping,Sale,220.41,
10/11/2025,10/12/2025,RETURN - Target,Shopping,Return,-114.63,
10/11/2025,10/13/2025,Apple Store,Electronics,Sale,208.32,
10/12/2025,10/13/2025,Nordstrom,Shopping,Sale,84.12,
10/12/2025,10/14/2025,Best Buy,Electronics,Sale,262.86,
10/12/2025,10/14/2025,RETURN - Kroger,Groceries,Return,-104.42,
10/12/2025,10/13/2025,Petco,Pet Care,Sale,295.34,
10/13/2025,10/14/2025,24 Hour Fitness,Fitness,Sale,88.77,
10/14/2025,10/14/2025,Postmates,Food Delivery,Sale,284.5,
10/14/2025,10/16/2025,Internet Service,Utilities,Sale,98.91,
10/15/2025,10/15/2025,Water Utility,Utilities,Sale,119.07,
10/16/2025,10/17/2025,RETURN - Office Depot,Office Supplies,Return,-54.24,
10/16/2025,10/17/2025,Marriott Hotel,Travel,Sale,72,
10/17/2025,10/19/2025,Staples,Office Supplies,Sale,125.78,
10/17/2025,10/17/2025,Starbucks,Restaurants,Sale,245.82,
10/17/2025,10/17/2025,Delta Airlines,Travel,Sale,10.9,
10/18/2025,10/18/2025,PRICE ADJUSTMENT,Adjustments,Credit,-39.3,
10/18/2025,10/20/2025,RETURN - Amazon.com,Shopping,Return,-154.64,
10/18/2025,10/19/2025,Target,Groceries,Sale,102.98,
10/19/2025,10/20/2025,Staples,Office Supplies,Sale,167.13,
10/19/2025,10/19/2025,Airbnb,Travel,Sale,33.52,
10/19/2025,10/19/2025,Microsoft Store,Electronics,Sale,185.29,
10/19/2025,10/20/2025,Olive Garden,Restaurants,Sale,158.82,
10/19/2025,10/21/2025,Delta Airlines,Travel,Sale,214.34,
10/19/2025,10/19/2025,FedEx Office,Office Supplies,Sale,276.47,
10/20/2025,10/20/2025,Walgreens,Pharmacy,Sale,12.96,
10/22/2025,10/24/2025,Nordstrom,Shopping,Sale,26.96,
10/22/2025,10/23/2025,Walmart,Groceries,Sale,58.48,
10/22/2025,10/23/2025,Rite Aid,Pharmacy,Sale,52.72,
10/23/2025,10/23/2025,Peloton,Fitness,Sale,225.88,
10/23/2025,10/25/2025,RETURN - Chevron,Gas,Return,-97.67,
10/25/2025,10/26/2025,Panera Bread,Restaurants,Sale,8.33,
10/25/2025,10/26/2025,PetSmart,Pet Care,Sale,5.67,
10/25/2025,10/26/2025,Grubhub,Food Delivery,Sale,231.04,
10/26/2025,10/27/2025,Walmart,Groceries,Sale,169.68,
10/26/2025,10/28/2025,Macy's,Shopping,Sale,274.3,
10/27/2025,10/28/2025,Office Depot,Office Supplies,Sale,6.79,
10/27/2025,10/27/2025,Walgreens,Pharmacy,Sale,189.49,
10/27/2025,10/27/2025,Hulu,Entertainment,Sale,47.45,
10/28/2025,10/28/2025,Apple Store,Electronics,Sale,231.17,
10/28/2025,10/30/2025,Trader Joe's,Groceries,Sale,258.44,
10/28/2025,10/29/2025,Postmates,Food Delivery,Sale,127.37,
10/29/2025,10/31/2025,Best Buy,Electronics,Sale,140.02,
10/29/2025,10/31/2025,CVS Pharmacy,Pharmacy,Sale,200.7,
10/29/2025,10/30/2025,CASHBACK REWARD,Adjustments,Credit,-127.54,
10/30/2025,11/01/2025,United Airlines,Travel,Sale,51.09,
10/31/2025,11/01/2025,Dunkin Donuts,Restaurants,Sale,187.43,
11/01/2025,11/01/2025,RETURN - Home Depot,Home Improvement,Return,-50.46,
11/01/2025,11/02/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-1430.13,
11/02/2025,11/04/2025,Electric Company,Utilities,Sale,218.53,
11/02/2025,11/03/2025,Spotify,Entertainment,Sale,211.57,
11/03/2025,11/05/2025,Panera Bread,Restaurants,Sale,260.1,
11/03/2025,11/03/2025,HBO Max,Entertainment,Sale,48.55,
11/03/2025,11/03/2025,Walgreens,Pharmacy,Sale,303.31,
11/03/2025,11/05/2025,Peloton,Fitness,Sale,75.14,
11/04/2025,11/05/2025,Uber,Transportation,Sale,159.57,
11/04/2025,11/05/2025,24 Hour Fitness,Fitness,Sale,238.43,
11/04/2025,11/06/2025,Staples,Office Supplies,Sale,243.81,
11/05/2025,11/05/2025,RETURN - Apple Store,Electronics,Return,-46.41,
11/05/2025,11/05/2025,Nordstrom,Shopping,Sale,155.44,
11/06/2025,11/06/2025,PetSmart,Pet Care,Sale,180.39,
11/07/2025,11/09/2025,Rite Aid,Pharmacy,Sale,229.42,
11/08/2025,11/08/2025,BILLING CORRECTION,Adjustments,Credit,-54.88,
11/08/2025,11/08/2025,Olive Garden,Restaurants,Sale,230.75,
11/08/2025,11/08/2025,DISPUTE RESOLUTION CREDIT,Adjustments,Credit,-62.51,
11/08/2025,11/08/2025,Electric Company,Utilities,Sale,221.22,
11/08/2025,11/09/2025,Lowe's,Home Improvement,Sale,144.98,
11/09/2025,11/11/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-1113.83,
11/09/2025,11/10/2025,AMC Theatres,Entertainment,Sale,154.46,
11/10/2025,11/12/2025,AMC Theatres,Entertainment,Sale,213.18,
11/10/2025,11/12/2025,24 Hour Fitness,Fitness,Sale,57.66,
11/10/2025,11/11/2025,Kroger,Groceries,Sale,249.18,
11/11/2025,11/12/2025,Lyft,Transportation,Sale,87.31,
11/11/2025,11/11/2025,Airbnb,Travel,Sale,146.08,
11/12/2025,11/12/2025,Walgreens,Pharmacy,Sale,281.61,
11/12/2025,11/14/2025,FedEx Office,Office Supplies,Sale,8.04,
11/12/2025,11/13/2025,Subway,Restaurants,Sale,190.64,
11/13/2025,11/14/2025,Hulu,Entertainment,Sale,84.04,
11/14/2025,11/16/2025,Shell Gas Station,Gas,Sale,65.61,
11/14/2025,11/14/2025,Lowe's,Home Improvement,Sale,159.79,
11/15/2025,11/17/2025,VCA Animal Hospital,Pet Care,Sale,147.27,
11/16/2025,11/17/2025,Ace Hardware,Home Improvement,Sale,219.46,
11/17/2025,11/18/2025,Peloton,Fitness,Sale,105.53,
11/18/2025,11/20/2025,Water Utility,Utilities,Sale,81.66,
11/18/2025,11/20/2025,HBO Max,Entertainment,Sale,65.52,
11/18/2025,11/19/2025,RETURN - Shell Gas Station,Gas,Return,-44.93,
11/19/2025,11/21/2025,PROMOTIONAL CREDIT,Adjustments,Credit,-116.12,
11/19/2025,11/21/2025,Apple Store,Electronics,Sale,244.65,
11/19/2025,11/21/2025,Postmates,Food Delivery,Sale,33.72,
11/19/2025,11/19/2025,Chevron,Gas,Sale,287.28,
11/20/2025,11/22/2025,Delta Airlines,Travel,Sale,129.81,
11/20/2025,11/22/2025,Ace Hardware,Home Improvement,Sale,13.22,
11/20/2025,11/20/2025,GameStop,Electronics,Sale,65.63,
11/20/2025,11/20/2025,Microsoft Store,Electronics,Sale,297.88,
11/21/2025,11/23/2025,BILLING CORRECTION,Adjustments,Credit,-36.57,
11/21/2025,11/21/2025,Planet Fitness,Fitness,Sale,264.3,
11/22/2025,11/23/2025,Disney+,Entertainment,Sale,119.08,
11/22/2025,11/24/2025,Uber,Transportation,Sale,193.58,
11/23/2025,11/24/2025,Target,Shopping,Sale,39.79,
11/23/2025,11/23/2025,Ace Hardware,Home Improvement,Sale,46.02,
11/23/2025,11/23/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-1697.57,
11/23/2025,11/25/2025,Internet Service,Utilities,Sale,268.47,
11/23/2025,11/25/2025,Target,Shopping,Sale,65.34,
11/24/2025,11/25/2025,CVS Pharmacy,Pharmacy,Sale,118.78,
11/25/2025,11/26/2025,PRICE ADJUSTMENT,Adjustments,Credit,-122.09,
11/25/2025,11/27/2025,Spotify,Entertainment,Sale,281.81,
11/26/2025,11/27/2025,Marriott Hotel,Travel,Sale,15.12,
11/26/2025,11/26/2025,Olive Garden,Restaurants,Sale,289.01,
11/27/2025,11/28/2025,Water Utility,Utilities,Sale,236.42,
11/27/2025,11/28/2025,Trader Joe's,Groceries,Sale,231.52,
11/28/2025,11/28/2025,TJ Maxx,Shopping,Sale,114.35,
11/29/2025,11/29/2025,Grubhub,Food Delivery,Sale,169.98,
11/29/2025,11/29/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-1938.21,
11/29/2025,11/29/2025,Peloton,Fitness,Sale,227.56,
12/01/2025,12/03/2025,Microsoft Store,Electronics,Sale,194.31,
12/01/2025,12/03/2025,Rite Aid,Pharmacy,Sale,77.71,
12/02/2025,12/03/2025,PetSmart,Pet Care,Sale,139.34,
12/02/2025,12/02/2025,Subway,Restaurants,Sale,76.91,
12/02/2025,12/02/2025,Home Depot,Home Improvement,Sale,205.43,
12/03/2025,12/04/2025,Petco,Pet Care,Sale,215.95,
12/03/2025,12/04/2025,Electric Company,Utilities,Sale,119.02,
12/04/2025,12/04/2025,Water Utility,Utilities,Sale,281.02,
12/05/2025,12/05/2025,Olive Garden,Restaurants,Sale,182.34,
12/05/2025,12/06/2025,Peloton,Fitness,Sale,97.99,
12/06/2025,12/07/2025,CASHBACK REWARD,Adjustments,Credit,-137.23,
12/06/2025,12/08/2025,Subway,Restaurants,Sale,257.09,
12/06/2025,12/07/2025,Walgreens,Pharmacy,Sale,31.63,
12/07/2025,12/09/2025,Amazon.com,Shopping,Sale,69.04,
12/07/2025,12/08/2025,Target,Shopping,Sale,82.87,
12/07/2025,12/08/2025,Macy's,Shopping,Sale,218.31,
12/07/2025,12/07/2025,Office Depot,Office Supplies,Sale,125.71,
12/08/2025,12/08/2025,Target,Shopping,Sale,182.37,
12/09/2025,12/10/2025,Internet Service,Utilities,Sale,243.48,
12/09/2025,12/11/2025,FedEx Office,Office Supplies,Sale,251.46,
12/10/2025,12/10/2025,United Airlines,Travel,Sale,21,
12/10/2025,12/12/2025,RETURN - Peloton,Fitness,Return,-138.15,
12/10/2025,12/11/2025,Target,Groceries,Sale,297.06,
12/10/2025,12/10/2025,Internet Service,Utilities,Sale,37.09,
12/11/2025,12/13/2025,Hilton Hotels,Travel,Sale,96.61,
12/11/2025,12/11/2025,Walmart,Groceries,Sale,76.18,
12/11/2025,12/11/2025,Shell Gas Station,Gas,Sale,152.04,
12/12/2025,12/12/2025,Nordstrom,Shopping,Sale,58.03,
12/12/2025,12/14/2025,Kroger,Groceries,Sale,193.3,
12/12/2025,12/12/2025,DISPUTE RESOLUTION CREDIT,Adjustments,Credit,-137.36,
12/12/2025,12/12/2025,Grubhub,Food Delivery,Sale,58.4,
12/12/2025,12/13/2025,Macy's,Shopping,Sale,258.28,
12/13/2025,12/15/2025,RETURN - Lyft,Transportation,Return,-37,
12/13/2025,12/15/2025,Uber Eats,Food Delivery,Sale,104.73,
